-1.108888e-16, 3.000000e+00, &DA??G? : &DCCCC? : &DCCAG? : &DEKW?? : &DGGIG?
-6.542052e-17, 2.000000e+00, &DAC?K? : &DCCKE? : &DE?CX? : &D??FM? : &DIIII? : &DKAHX? : &DM[GA?
-1.659411e-17, 3.500000e+00, &DC??W?
0.000000e+00, 0.000000e+00, &D??F^? : &DGAF^? : &DM[?N? : &D?B^^?
0.000000e+00, 1.000000e+00, &DACGM? : &D???N? : &DECC\? : &DC?CN? : &DEKEK? : &DEKE\? : &DCGEN? : &DGIAN? : &DMASY? : &DMA\Z? : &DG?SN? : &DKATN? : &D?BMM?
0.000000e+00, 1.500000e+00, &D?BU]?
0.000000e+00, 5.000000e+00, &D?????
2.775558e-16, 1.585786e+00, &DECCK?
3.819660e-01, 1.381966e+00, &DIMAK?
5.188057e-01, 8.299135e-01, &DECKM? : &DIMIM?
5.857864e-01, 1.000000e+00, &DKIEN?
6.909830e-01, 3.190983e+00, &DGGKC?
6.972244e-01, 6.972244e-01, &DEGMZ?
8.299135e-01, 5.188057e-01, &DEKMM? : &DME\M?
1.000000e+00, 2.000000e+00, &DECKO? : &DIMIO? : &DM[GR? : &DILKO?
1.000000e+00, 2.500000e+00, &DIC[O?
1.000000e+00, 0.000000e+00, &DACG^? : &DECK^? : &DEKM^? : &DEK^O? : &DIMI^? : &DIC[^? : &DME\^? : &DMM^O? : &DM^MO? : &DGRF^? : &DM^^O? : &D^U]O? : &D^^^O?
1.000000e+00, 4.000000e+00, &DACGO?
1.000000e+00, 5.857864e-01, &DMMMO?
1.000000e+00, 1.000000e+00, &DEKMO? : &DCGVN? : &DME\O? : &DKIVN? : &DGHCN? : &D\SBZ?
1.381966e+00, 3.819660e-01, &DMMMM?
1.381966e+00, 1.381966e+00, &DKMME?
1.500000e+00, 8.881784e-16, &D^[OQ?
1.500000e+00, 2.000000e+00, &DM[OQ?
1.585786e+00, 0.000000e+00, &DMMM^?
2.000000e+00, 1.000000e+00, &DMMWP? : &DKZEN? : &DKZVN? : &DXHTN?
2.000000e+00, 1.500000e+00, &DPBU]?
2.000000e+00, 8.881784e-16, &DEK^M? : &DEK^^? : &DMM^^? : &DM^MM? : &DILK^? : &DM^WP? : &D^^WP?
2.000000e+00, 3.000000e+00, &DEKWP?
2.500000e+00, 1.000000e+00, &D\QUN?
2.500000e+00, 2.500000e+00, &DWW[[?
3.000000e+00, -8.881784e-16, &DM^M^? : &DM^U]? : &DM^^^? : &DXRF^? : &D^ZL\?
3.000000e+00, 2.000000e+00, &DM[XR?
3.190983e+00, 6.909830e-01, &D\UZ\?
3.500000e+00, -8.881784e-16, &D^^U]?
4.000000e+00, 1.000000e+00, &D\ZVN?
5.000000e+00, -1.776357e-15, &D^^^^?
